2021-09-16 03:04:00+00;23;18411AMK-03;10;10.47;1.57;126.8;0.29;3.06;0.03;748.68;100;10.47;12.71;9.72456;0.000121838;338.72
2021-09-16 06:11:00+00;23;18411AMK-03;10;14.56;2.42;111.5;1.54;3.51;0.09;748.03;71.73;9.52;16.6185;12.5342;0.000119762;341.11
2021-09-16 09:17:00+00;23;18411AMK-03;10;19.02;2.45;152.2;1.06;3.32;-0.04;746.89;59.49;10.94;22.0509;16.3776;0.000117426;343.84
2021-09-16 12:24:00+00;23;18411AMK-03;10;17.95;1.1;118.4;0.77;1.6;-0.12;746.18;70.13;12.42;20.6223;15.3729;0.000117831;343.29
2021-09-16 15:30:00+00;23;18411AMK-03;10;16.11;0.81;186.8;0.29;1.97;-0.12;745.66;67.1;10;18.3551;13.7698;0.000118634;342.05
2021-09-16 18:37:00+00;23;18411AMK-03;10;13.89;3.39;144.4;1.76;6.01;0.46;744.12;95.15;13.12;15.9134;12.0304;0.000119452;340.91
2021-09-16 21:43:00+00;23;18411AMK-03;10;12.35;1.63;108.9;1.21;2.36;0;743.09;100;12.35;14.3921;10.939;0.000120022;339.95
2021-09-17 00:50:00+00;23;18411AMK-03;10;12.56;1.9;115.4;1.19;3;0.24;741.48;95.79;11.91;14.5916;11.0825;0.00011966;340.05
2021-09-17 03:57:00+00;23;18411AMK-03;10;13.88;0.71;189.4;0.11;1.46;-0.04;740.46;76.7;9.86;15.9028;12.0228;0.000118865;340.73
2021-09-17 07:03:00+00;23;18411AMK-03;10;17.98;3.17;193.7;1.59;4.4;-0.4;739.64;50.56;7.56;20.6607;15.3999;0.000116773;343.06
2021-09-17 10:10:00+00;23;18411AMK-03;10;19.62;1.5;165.7;0.2;2.92;-0.14;739.11;43.59;6.89;22.8886;16.9649;0.000115901;344
2021-09-17 13:16:00+00;23;18411AMK-03;10;16.55;1;204.8;0.48;1.8;-0.08;738.31;72.92;11.67;18.8757;14.1389;0.000117244;342.42
2021-09-17 16:23:00+00;23;18411AMK-03;10;13.06;0.86;220;0.24;2.08;-0.15;738.5;83.3;10.29;15.0764;11.4307;0.000118938;340.26
2021-09-17 19:29:00+00;23;18411AMK-03;10;9.47;0.36;96.1;0.25;0.43;-0.11;738.52;89.78;7.87;11.8873;9.12726;0.00012065;338
2021-09-17 22:36:00+00;23;18411AMK-03;10;7.67;0.63;141;0.37;0.96;-0.17;739.05;93.82;6.74;10.525;8.13304;0.000121596;336.88
2021-09-18 01:42:00+00;23;18411AMK-03;10;7.19;1.72;191.3;1.06;3.04;-0.26;740.96;84.39;4.74;10.1859;7.88449;0.000122142;336.52
2021-09-18 04:49:00+00;23;18411AMK-03;10;9.23;2.42;201.1;0.67;4.64;-0.22;742.66;70.59;4.16;11.6973;8.98902;0.000121445;337.71
2021-09-18 07:55:00+00;23;18411AMK-03;10;9.45;2.79;209.5;1.45;4.97;-0.4;744.41;73.18;4.89;11.8717;9.11589;0.000121628;337.87
2021-09-18 11:02:00+00;23;18411AMK-03;10;10.16;1.94;174.6;1.21;2.66;-0.16;746;69.05;4.74;12.4498;9.53587;0.000121548;338.29
2021-09-18 14:08:00+00;23;18411AMK-03;10;6.99;1.08;166.5;0.37;2.49;0.08;746.54;95.42;6.31;10.0477;7.78307;0.000123163;336.45
2021-09-18 17:15:00+00;23;18411AMK-03;10;6.97;0.56;159.3;0.12;1.3;-0.02;746.86;100;6.97;10.0339;7.77298;0.000123226;336.47
2021-09-18 20:21:00+00;23;18411AMK-03;10;6.33;0.66;130.2;0.36;1.55;0.06;746.56;100;6.33;9.60253;7.4558;0.000123486;336.06
2021-09-18 23:28:00+00;23;18411AMK-03;10;5.53;0.87;152.1;0.33;1.65;-0.14;746.19;100;5.53;9.08635;7.07527;0.000123811;335.55
2021-09-19 02:34:00+00;23;18411AMK-03;10;7.57;3.07;153.9;1.96;4.52;-0.06;744.91;73.53;3.15;10.4538;8.08089;0.000122614;336.69
